contract_id,criterion,description,label
         3256271,Kritéria nákladov,"Predmet zákazky pozostáva z modernizácie a rekonštrukcie výrobno-administratívnej budovy skladajúcej sa z výrobnej haly jedlého rastlinného oleja, administratívnej budovy a rekonštrukcie oceľového skladu.",Stavebné práce na stavbe priemyselných budov
         3256271,Čas potrebný na realizáciu predmetu obstarávania (v kalendárnych dňoch),"Predmet zákazky pozostáva z modernizácie a rekonštrukcie výrobno-administratívnej budovy skladajúcej sa z výrobnej haly jedlého rastlinného oleja, administratívnej budovy a rekonštrukcie oceľového skladu.",Stavebné práce na stavbe priemyselných budov
         3256271,Celková cena diela bez DPH (EUR),"Predmet zákazky pozostáva z modernizácie a rekonštrukcie výrobno-administratívnej budovy skladajúcej sa z výrobnej haly jedlého rastlinného oleja, administratívnej budovy a rekonštrukcie oceľového skladu.",Stavebné práce na stavbe priemyselných budov
         3256313,Kritéria nákladov,"Predmetom zákazky je realizácia stavebných prác pre vybudovanie kanalizácie a ČOV v obci Orechová Potôň.
Bližšia špecifikácia je obsiahnutá v súťažných podkladoch a ich prílohách.",Stavebné práce na stavbe kanalizácie
         3256313,Najnižšia spotreba elektrickej energie za kalendárny rok v kW,"Predmetom zákazky je realizácia stavebných prác pre vybudovanie kanalizácie a ČOV v obci Orechová Potôň.
Bližšia špecifikácia je obsiahnutá v súťažných podkladoch a ich prílohách.",Stavebné práce na stavbe kanalizácie
         3256313,Najnižšia cena za predmet obstarávania v EUR s DPH,"Predmetom zákazky je realizácia stavebných prác pre vybudovanie kanalizácie a ČOV v obci Orechová Potôň.
Bližšia špecifikácia je obsiahnutá v súťažných podkladoch a ich prílohách.",Stavebné práce na stavbe kanalizácie
         3256393,Kritéria nákladov,"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
         3256393,Dĺžka (roky) bezplatného servisu,"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
         3256393,Redukčná prevodovka (low range),"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
         3256393,Cena v EUR s DPH,"Predmetom zákazky je dodanie 4 ks terénnych úžitkových motorových vozidiel.
Podrobné vymedzenie predmetu verejného obstarávania je v súťažných podkladoch.",Terénne a cestné vozidlá
         3256429,Kritéria nákladov,"Predmetom zákazky je uskladnenie komunálneho odpadu, drobného stavebného odpadu a ostatného odpadu z miest a obcí: Krompachy, Spišské Vlachy, Spišské Podhradie, Bystrany, Hincovce, Beharovce, Granč-Petrovce, Žehra, Kolinovce, Slatvin",Likvidácia a spracovanie odpadu
         3256429,vzdialenosť skládky v km,"Predmetom zákazky je uskladnenie komunálneho odpadu, drobného stavebného odpadu a ostatného odpadu z miest a obcí: Krompachy, Spišské Vlachy, Spišské Podhradie, Bystrany, Hincovce, Beharovce, Granč-Petrovce, Žehra, Kolinovce, Slatvin",Likvidácia a spracovanie odpadu
         3256429,1.navrhovaná zmluvná cena celkom  v EUR bez DPH,"Predmetom zákazky je uskladnenie komunálneho odpadu, drobného stavebného odpadu a ostatného odpadu z miest a obcí: Krompachy, Spišské Vlachy, Spišské Podhradie, Bystrany, Hincovce, Beharovce, Granč-Petrovce, Žehra, Kolinovce, Slatvin",Likvidácia a spracovanie odpadu
         3256433,Najnižšia jednotková cena za poskytnutie služby - polymerizácia kameninovej dlažby za 1 m2,Upratovacie služby v budove Krajského súdu v Košiciach v rokoch 2016 až 2020.,Upratovacie služby
         3256433,Najnižšia jednotková cena za poskytnutie služby - umývanie okien za 100 m2,Upratovacie služby v budove Krajského súdu v Košiciach v rokoch 2016 až 2020.,Upratovacie služby
         3256433,Najnižšia cena za poskytnutie služby - upratovanie ( bez umývania okien a polymerizácie kameninovej dlažby ) za 12 mesiacov ( 1 rok ),Upratovacie služby v budove Krajského súdu v Košiciach v rokoch 2016 až 2020.,Upratovacie služby
         3256513,Kritéria nákladov,"Palivové karty - bezhotovostný nákup pohonných hmôt: benzín automobilový BA95N, nafta motorová NM a kvapalina pre zníženie emisií AdBlue",Karty na čerpanie pohonnýchlátok
         3256513,Výška poskytnutej % zľavy z aktuálne platnej jednotkovej ceny za 1 liter AdBlue v čase realizovania odberu na čerpacej stanici,"Palivové karty - bezhotovostný nákup pohonných hmôt: benzín automobilový BA95N, nafta motorová NM a kvapalina pre zníženie emisií AdBlue",Karty na čerpanie pohonnýchlátok
         3256513,Výška poskytnutej % zľavy z aktuálne platnej jednotkovej ceny za 1 liter benzínu v čase realizovania odberu na čerpacej stanici,"Palivové karty - bezhotovostný nákup pohonných hmôt: benzín automobilový BA95N, nafta motorová NM a kvapalina pre zníženie emisií AdBlue",Karty na čerpanie pohonnýchlátok
         3256513,Výška poskytnutej % zľavy z aktuálne platnej jednotkovej ceny za 1 liter motorovej nafty v čase realizovania odberu na čerpacej stanici,"Palivové karty - bezhotovostný nákup pohonných hmôt: benzín automobilový BA95N, nafta motorová NM a kvapalina pre zníženie emisií AdBlue",Karty na čerpanie pohonnýchlátok
         3256604,Kritéria nákladov,"Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
         3256604,"Maximálna odmena tlmočníka posunkovej reči nepočujúcich za tlmočenie v styku s týmito osobami za každú, aj začatú hodinu tlmočenia vyjadrená v EUR bez DPH","Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
         3256604,Maximálna cena za celodenné tlmočenie (všetky typy tlmočenia) pri tlmočení jedným smerom alebo oboma smermi medzi slovenským jazykom a českým jazykom vyjadrená v EUR bez DPH,"Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
         3256604,"Maximálna cena za každú, aj začatú hodinu tlmočenia (všetky typy tlmočenia) pri tlmočení jedným smerom alebo oboma smermi medzi slovenským jazykom a českým jazykom vyjadrená v EUR bez DPH","Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
         3256604,"Maximálna cena za celodenné tlmočenie (všetky typy tlmočenia) pri tlmočení jedným smerom alebo oboma smermi medzi dvoma jazykmi, z ktorých ani jeden nie je slovenský jazyk vyjadrená v EUR bez DPH","Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
         3256604,Maximálna prirážka za nadčasovú hodinu tlmočenia (všetky typy tlmočenia) vyjadrená v %,"Predmetom zákazky je priebežné odplatné poskytovanie prekladateľských a tlmočníckych služieb, t. j.zabezpečenie reprodukcie písomných a hovorených informácií z východiskového jazyka do cieľového jazyka v písomnej a ústnej fo",Prekladateľské služby
